TRINITY_DN180_c0_g2_i2	0.341828	0.36191	0.276632	0.401924	0.323701	0.481173
TRINITY_DN180_c0_g3_i1	9.599034	50.123186	66.650097	42.5458	30.870088	27.139819
TRINITY_DN18331_c0_g2_i1	0.091867	0.054306	0.121401	0.100403	0.367407	0.012736
TRINITY_DN1840_c0_g2_i10	1.629741	0	3.658714	0.5822	0	0
TRINITY_DN1840_c0_g2_i12	0	0.572654	1.191512	0.590129	0.741125	0.506336
TRINITY_DN1840_c0_g2_i14	0.018345	0.619337	0.301992	0.021268	0.212221	0.219569
TRINITY_DN1840_c0_g2_i16	0.125174	0.379401	0.813943	0.22501	0.957878	0.20475
TRINITY_DN1840_c0_g2_i17	0.310818	0.581565	1.351975	0.388917	0.511654	0.41495
TRINITY_DN1840_c0_g2_i21	0.198513	0.759389	0.862087	0.047526	0.923291	0.298999
TRINITY_DN1840_c0_g2_i23	19.8172	41.406383	69.020874	15.983976	27.669154	15.449517
TRINITY_DN18419_c0_g1_i11	0.310638	0	0.15716	0.375393	0	0.022032
TRINITY_DN18419_c0_g1_i13	0.588213	0.838833	0.346527	0	0	0
TRINITY_DN18419_c0_g1_i4	0	0.681367	0	2.481917	1.587891	1.083636
TRINITY_DN18419_c0_g1_i5	0	0.073282	0.069713	0.241432	0	0
TRINITY_DN18419_c0_g1_i8	0	0.737764	0.171206	1.535182	0	1.143011
TRINITY_DN18419_c0_g1_i9	0	1.508664	0.090709	0.410106	0.880285	0.901967
TRINITY_DN20601_c0_g1_i1	0	0	0.085317	0	0	0
TRINITY_DN20601_c0_g1_i2	0	0.083653	0	0.03064	0.256613	0.017852
TRINITY_DN2213_c0_g1_i1	2.573743	15.69529	4.25873	6.423657	4.85312	2.836906
TRINITY_DN22780_c0_g1_i1	0.023155	1.512598	0.736923	1.448874	0.660998	0.109393
TRINITY_DN241_c0_g2_i1	0	1.930147	0	2.194129	0.809674	0
TRINITY_DN241_c0_g2_i2	0.400605	0.670082	0.394643	0.939188	0.462796	0.479371
TRINITY_DN241_c0_g2_i3	0.102257	0.320286	0.333759	13.379559	4.975601	13.396362
TRINITY_DN241_c0_g2_i4	0	1.004184	1.472529	3.949143	20.162651	7.032312
TRINITY_DN241_c0_g2_i5	0.374917	0	0	0	0.711435	1.227767
TRINITY_DN241_c0_g2_i6	0.576086	11.773605	21.889757	95.454728	55.412203	7.575062
TRINITY_DN257_c3_g1_i1	0	1.053344	0.857452	0	0	0
TRINITY_DN257_c3_g1_i14	2.649508	3.054807	0.341712	2.925351	2.124004	1.383246
TRINITY_DN257_c3_g1_i4	0.127519	0.045469	0.351783	0	0	0.49708
TRINITY_DN257_c3_g1_i8	0	0	0	3.018016	2.305043	1.268797
TRINITY_DN257_c3_g1_i9	5.124379	2.521036	3.615612	2.468315	3.283959	2.533412
TRINITY_DN25915_c0_g1_i1	0	0.774	0.016133	0	0	1.256054
TRINITY_DN25915_c0_g1_i2	2.382678	0	0	1.861655	6.993498	0.962609
TRINITY_DN25915_c0_g1_i3	4.441274	11.912495	0	0	0	11.998769
TRINITY_DN25915_c0_g1_i4	0	0	0.855789	5.228664	2.879555	0
TRINITY_DN25915_c0_g1_i6	0	0	0	0.812421	0.878604	0
TRINITY_DN25915_c0_g1_i8	0.212627	0.119786	0.239079	0.109281	0	0.105698
TRINITY_DN26550_c0_g1_i2	0	0.113715	0	0.041761	0	0
TRINITY_DN26550_c0_g1_i3	0	0	0	0	0	0.19864
TRINITY_DN26550_c0_g1_i4	0	0	0	0	0	0.171479
TRINITY_DN26550_c0_g2_i1	0	0	0	0	0.244952	0.284037
TRINITY_DN26550_c0_g2_i3	0.027231	0.0689	0	0.151478	0.105126	0
TRINITY_DN276_c0_g1_i2	1.079685	1.315515	2.263975	2.318836	1.915156	1.800979
TRINITY_DN276_c0_g1_i3	35.024151	39.138186	30.99936	56.854905	45.433391	63.384557
TRINITY_DN276_c0_g1_i4	1.955308	1.087773	3.093354	2.895885	2.214176	2.369821
TRINITY_DN276_c0_g2_i1	4.396594	9.124441	4.9883	9.626017	7.891539	4.51278
TRINITY_DN276_c0_g2_i3	0.146906	0.587105	0.28575	0.980978	0.445515	0.469435
TRINITY_DN2768_c0_g1_i1	0	0.142275	0	0.299472	0.448788	0
TRINITY_DN2768_c0_g1_i2	3.001373	41.345109	2.438515	3.799556	3.007275	6.281309
TRINITY_DN2768_c0_g1_i3	0	9.250745	0	0	0	4.826254
TRINITY_DN2768_c0_g1_i4	2.035635	35.940615	1.440077	2.662045	2.36276	6.37807
TRINITY_DN2768_c0_g1_i5	0.398026	1.4197	0.489843	1.561966	0.657046	0.447456
TRINITY_DN2768_c0_g1_i6	0.050605	0.087264	0	0	0	0.089217
TRINITY_DN2768_c0_g1_i7	0.271706	0.671344	0	0.378485	0	0
TRINITY_DN2810_c0_g1_i1	2.243599	1.125679	0.775903	4.000393	0.505446	3.313969
TRINITY_DN2810_c0_g1_i10	0.11856	0	0	0	0	1.646602
TRINITY_DN2810_c0_g1_i12	0.61725	6.123175	2.372016	3.148646	6.952902	3.790798
TRINITY_DN2810_c0_g1_i6	0.208058	6.972084	5.795965	1.659168	9.826173	7.441709
