Family	GeneID	Recalc_Dan_mean	Archived_Dan_mean	Dan_mean_difference	Recalc_Mul_mean	Archived_Mul_mean	Mul_mean_difference	Max_absolute_difference	Interpretation
CarE	TRINITY_DN9322_c0_g2	3.045425333333333	2.5880625999999998	0.45736273333333344	3.995934333333333	3.4381161999999996	0.5578181333333334	0.5578181333333334	archived mean uses a different upstream/statistical basis; retain both
GST	TRINITY_DN114_c0_g1	106.427074	91.18381666	15.24325734	103.68228666666667	88.2858918	15.396394866666668	15.396394866666668	archived mean uses a different upstream/statistical basis; retain both
GST	TRINITY_DN11666_c0_g1	65.762733	56.10678420000001	9.65594879999999	84.48231999999999	70.4296784	14.052641599999987	14.052641599999987	archived mean uses a different upstream/statistical basis; retain both
GST	TRINITY_DN12434_c0_g2	6.145674666666666	5.8458008	0.29987386666666627	16.465675666666666	15.4357622	1.0299134666666667	1.0299134666666667	archived mean uses a different upstream/statistical basis; retain both
GST	TRINITY_DN1310_c0_g1	378.61348766666663	379.75887384	-1.1453861733333497	307.0374366666667	298.16707497000004	8.870361696666635	8.870361696666635	archived mean uses a different upstream/statistical basis; retain both
GST	TRINITY_DN1343_c0_g1	3.156061	2.87803732	0.27802368	3.316964	3.16221446	0.15474954000000007	0.27802368	archived mean uses a different upstream/statistical basis; retain both
GST	TRINITY_DN13779_c0_g1	55.862954333333334	49.59060718	6.272347153333335	80.479805	71.02730236400001	9.452502635999991	9.452502635999991	archived mean uses a different upstream/statistical basis; retain both
GST	TRINITY_DN1407_c0_g1	94.32579733333334	95.7970384	-1.4712410666666642	169.30951900000002	157.3697114	11.939807600000023	11.939807600000023	archived mean uses a different upstream/statistical basis; retain both
GST	TRINITY_DN1430_c2_g2	79.07958666666667	65.82043200000001	13.25915466666666	114.21468566666667	92.3762174	21.838468266666666	21.838468266666666	archived mean uses a different upstream/statistical basis; retain both
GST	TRINITY_DN163_c3_g1	1.814444	1.7592963999999998	0.055147600000000185	3.4533263333333335	2.8252981999999998	0.6280281333333337	0.6280281333333337	archived mean uses a different upstream/statistical basis; retain both
GST	TRINITY_DN1682_c0_g2	30.461128000000002	28.3075288	2.153599200000002	30.476056333333332	26.024825799999995	4.451230533333337	4.451230533333337	archived mean uses a different upstream/statistical basis; retain both
GST	TRINITY_DN18158_c2_g1	0.37126933333333334	0.3664108	0.004858533333333359	0.26317233333333334	0.27236380000000004	-0.009191466666666703	0.009191466666666703	archived mean uses a different upstream/statistical basis; retain both
GST	TRINITY_DN18158_c2_g2	0.004593333333333334	0.0049738560000000005	-0.00038052266666666664	1.430921	1.4760906	-0.04516959999999992	0.04516959999999992	archived mean uses a different upstream/statistical basis; retain both
GST	TRINITY_DN1824_c0_g1	6.471533333333333	5.380834	1.0906993333333332	4.335455333333334	3.7079672	0.6274881333333338	1.0906993333333332	archived mean uses a different upstream/statistical basis; retain both
GST	TRINITY_DN196_c0_g1	36.592019666666666	34.7870518	1.804967866666665	32.07257533333333	26.193557199999997	5.879018133333336	5.879018133333336	archived mean uses a different upstream/statistical basis; retain both
GST	TRINITY_DN196_c1_g2	39.83955833333333	33.9792072	5.860351133333332	31.71480366666667	26.3728382	5.341965466666668	5.860351133333332	archived mean uses a different upstream/statistical basis; retain both
GST	TRINITY_DN196_c6_g1	189.312289	174.51667809999998	14.795610900000014	200.355885	167.48648699999998	32.86939800000002	32.86939800000002	archived mean uses a different upstream/statistical basis; retain both
GST	TRINITY_DN1970_c0_g1	7.311001999999999	6.464061320000001	0.8469406799999986	13.744248333333333	13.133271740000001	0.6109765933333318	0.8469406799999986	archived mean uses a different upstream/statistical basis; retain both
GST	TRINITY_DN2000_c0_g1	2.89107	2.848356	0.04271400000000014	4.074093333333334	4.0044334	0.06965993333333387	0.06965993333333387	archived mean uses a different upstream/statistical basis; retain both
GST	TRINITY_DN2379_c0_g3	6.63785	5.507987340000001	1.1298626599999997	9.749826	8.03287194	1.7169540600000008	1.7169540600000008	archived mean uses a different upstream/statistical basis; retain both
GST	TRINITY_DN2529_c0_g1	3.604149	3.15394726	0.45020174000000024	4.05839	3.70495926	0.3534307400000003	0.45020174000000024	archived mean uses a different upstream/statistical basis; retain both
UGT	TRINITY_DN11717_c0_g2	2.4616073333333333	2.36924672	0.09236061333333323	1.4050166666666668	1.26559186	0.1394248066666668	0.1394248066666668	archived mean uses a different upstream/statistical basis; retain both
UGT	TRINITY_DN12106_c1_g5	0.19734833333333332	0.17465181999999999	0.022696513333333335	0.0	0.0	0.0	0.022696513333333335	archived mean uses a different upstream/statistical basis; retain both
UGT	TRINITY_DN1342_c0_g2	3.239591	2.82394728	0.41564371999999983	3.2324943333333334	2.7834264	0.44906793333333317	0.44906793333333317	archived mean uses a different upstream/statistical basis; retain both
UGT	TRINITY_DN13580_c0_g1	0.174035	0.15758909999999998	0.016445900000000013	0.130803	0.13356122	-0.0027582200000000057	0.016445900000000013	archived mean uses a different upstream/statistical basis; retain both
UGT	TRINITY_DN16531_c0_g1	0.41269866666666666	0.43546715999999996	-0.022768493333333306	0.301086	0.27747436	0.023611640000000045	0.023611640000000045	archived mean uses a different upstream/statistical basis; retain both
UGT	TRINITY_DN1687_c0_g1	6.960207666666666	6.67223908	0.2879685866666666	9.946167	9.58825296	0.3579140400000007	0.3579140400000007	archived mean uses a different upstream/statistical basis; retain both
UGT	TRINITY_DN1689_c0_g1	21.491085333333334	19.1803864	2.3106989333333345	27.78768033333333	23.5762124	4.211467933333331	4.211467933333331	archived mean uses a different upstream/statistical basis; retain both
UGT	TRINITY_DN1689_c0_g2	3.3203913333333333	2.9364888000000002	0.383902533333333	5.531265666666666	4.793631400000001	0.7376342666666655	0.7376342666666655	archived mean uses a different upstream/statistical basis; retain both
UGT	TRINITY_DN1689_c1_g1	45.764162999999996	44.54200248	1.2221605199999956	30.306723333333334	28.43074128	1.8759820533333347	1.8759820533333347	archived mean uses a different upstream/statistical basis; retain both
UGT	TRINITY_DN17113_c0_g1	13.716707666666666	13.304594079999998	0.41211358666666875	9.188203	8.16481936	1.0233836400000005	1.0233836400000005	archived mean uses a different upstream/statistical basis; retain both
UGT	TRINITY_DN18424_c0_g1	0.21477533333333335	0.1947838	0.01999153333333334	0.20527299999999998	0.18156578	0.023707219999999973	0.023707219999999973	archived mean uses a different upstream/statistical basis; retain both
UGT	TRINITY_DN20280_c0_g1	0.493793	0.4577129999999999	0.036080000000000056	1.362993	1.2147058	0.14828719999999995	0.14828719999999995	archived mean uses a different upstream/statistical basis; retain both
UGT	TRINITY_DN20280_c1_g1	6.394601333333334	5.76834356	0.6262577733333341	2.700705666666667	2.31758806	0.38311760666666705	0.6262577733333341	archived mean uses a different upstream/statistical basis; retain both
UGT	TRINITY_DN21024_c0_g1	0.12422633333333333	0.12194452	0.002281813333333327	0.14495966666666668	0.14691198	-0.0019523133333333165	0.002281813333333327	archived mean uses a different upstream/statistical basis; retain both
UGT	TRINITY_DN2328_c0_g1	2.048969333333333	1.80073744	0.24823189333333295	4.4960743333333335	3.7878526	0.7082217333333336	0.7082217333333336	archived mean uses a different upstream/statistical basis; retain both
UGT	TRINITY_DN2332_c0_g1	0.7795133333333333	0.6992304	0.08028293333333325	1.6722956666666666	1.4128762799999999	0.25941938666666675	0.25941938666666675	archived mean uses a different upstream/statistical basis; retain both
UGT	TRINITY_DN243_c0_g1	10.159981333333333	9.6431218	0.5168595333333332	9.481113	9.0479438	0.43316920000000003	0.5168595333333332	archived mean uses a different upstream/statistical basis; retain both
UGT	TRINITY_DN28473_c0_g1	17.409660666666667	14.983774980000002	2.425885686666666	30.316750333333335	24.68898618	5.6277641533333345	5.6277641533333345	archived mean uses a different upstream/statistical basis; retain both
UGT	TRINITY_DN3225_c0_g1	5.890149999999999	5.18613228	0.7040177199999995	13.059251666666666	11.1582898	1.9009618666666661	1.9009618666666661	archived mean uses a different upstream/statistical basis; retain both
UGT	TRINITY_DN3269_c0_g1	2.6964426666666665	2.5208261	0.1756165666666667	3.781000333333333	3.3871682	0.393832133333333	0.393832133333333	archived mean uses a different upstream/statistical basis; retain both
UGT	TRINITY_DN37939_c0_g1	0.03843	0.04161364	-0.0031836400000000015	0.254267	0.25236359999999997	0.001903400000000055	0.0031836400000000015	archived mean uses a different upstream/statistical basis; retain both
UGT	TRINITY_DN38523_c0_g1	0.043132333333333335	0.04670552	-0.0035731866666666653	0.18211333333333335	0.1856504	-0.003537066666666644	0.0035731866666666653	archived mean uses a different upstream/statistical basis; retain both
UGT	TRINITY_DN39303_c0_g1	0.996757	0.8991396	0.09761739999999997	0.21718566666666667	0.20742001999999998	0.009765646666666683	0.09761739999999997	archived mean uses a different upstream/statistical basis; retain both
UGT	TRINITY_DN41259_c0_g1	0.07175633333333334	0.07550074	-0.003744406666666658	0.14318033333333333	0.11740686	0.025773473333333324	0.025773473333333324	archived mean uses a different upstream/statistical basis; retain both
UGT	TRINITY_DN5199_c0_g1	2.8266613333333335	2.3534316	0.4732297333333335	2.249504	2.0142884000000003	0.23521559999999964	0.4732297333333335	archived mean uses a different upstream/statistical basis; retain both
UGT	TRINITY_DN5252_c0_g3	0.8309856666666666	0.7760984	0.054887266666666656	0.941009	0.772581	0.16842800000000002	0.16842800000000002	archived mean uses a different upstream/statistical basis; retain both
UGT	TRINITY_DN566_c0_g2	4.200915666666667	4.150674	0.05024166666666652	36.95787333333333	33.999472000000004	2.9584013333333274	2.9584013333333274	archived mean uses a different upstream/statistical basis; retain both
UGT	TRINITY_DN60107_c0_g1	0.0	0.0	0.0	0.146712	0.14095459999999999	0.005757400000000024	0.005757400000000024	archived mean uses a different upstream/statistical basis; retain both
UGT	TRINITY_DN654_c0_g1	14.642299333333334	14.180633600000002	0.46166573333333183	24.804909333333335	21.337083800000002	3.4678255333333325	3.4678255333333325	archived mean uses a different upstream/statistical basis; retain both
UGT	TRINITY_DN6816_c0_g1	28.078628333333334	24.46900026	3.609628073333333	42.825446666666664	38.33739582	4.488050846666667	4.488050846666667	archived mean uses a different upstream/statistical basis; retain both
UGT	TRINITY_DN7259_c0_g1	29.51874133333333	25.887624799999998	3.6311165333333335	67.583164	55.6210004	11.962163599999997	11.962163599999997	archived mean uses a different upstream/statistical basis; retain both
UGT	TRINITY_DN729_c0_g1	59.600253	51.18270268	8.417550320000004	108.91125366666667	89.1440119	19.76724176666667	19.76724176666667	archived mean uses a different upstream/statistical basis; retain both
UGT	TRINITY_DN7973_c0_g1	18.502710333333333	15.90170778	2.6010025533333323	33.71140833333334	27.455117440000002	6.256290893333336	6.256290893333336	archived mean uses a different upstream/statistical basis; retain both
UGT	TRINITY_DN8039_c0_g1	1.0708176666666667	0.9228356	0.1479820666666667	1.7634076666666667	1.5622114	0.20119626666666668	0.20119626666666668	archived mean uses a different upstream/statistical basis; retain both
UGT	TRINITY_DN87_c1_g3	17.609249	16.00796768	1.6012813199999982	19.961346666666667	17.31016236	2.651184306666668	2.651184306666668	archived mean uses a different upstream/statistical basis; retain both
UGT	TRINITY_DN9587_c0_g1	1.1814243333333332	1.2358411999999999	-0.054416866666666674	0.35001499999999997	0.32158141999999995	0.028433580000000014	0.054416866666666674	archived mean uses a different upstream/statistical basis; retain both
SULT	TRINITY_DN1282_c1_g2	0.8390213333333333	0.7638224599999999	0.07519887333333342	5.443462666666667	5.0216276	0.4218350666666666	0.4218350666666666	archived mean uses a different upstream/statistical basis; retain both
SULT	TRINITY_DN13428_c0_g1	0.2984853333333333	0.287271254	0.011214079333333349	0.5611963333333333	0.57298028	-0.011783946666666711	0.011783946666666711	archived mean uses a different upstream/statistical basis; retain both
SULT	TRINITY_DN13428_c0_g2	0.1921176666666667	0.19364534	-0.0015276733333333126	0.31929033333333334	0.2856202	0.03367013333333335	0.03367013333333335	archived mean uses a different upstream/statistical basis; retain both
SULT	TRINITY_DN18563_c0_g1	0.83146	0.8060048	0.02545520000000001	0.020879333333333333	0.02260902	-0.0017296866666666674	0.02545520000000001	archived mean uses a different upstream/statistical basis; retain both
SULT	TRINITY_DN1884_c0_g1	68.786945	66.6467667	2.1401783000000023	80.711297	81.4085734	-0.6972763999999927	2.1401783000000023	archived mean uses a different upstream/statistical basis; retain both
SULT	TRINITY_DN260_c1_g1	521.8767046666667	448.28376538000003	73.59293928666665	392.11227066666663	327.8480732	64.26419746666664	73.59293928666665	archived mean uses a different upstream/statistical basis; retain both
SULT	TRINITY_DN275_c0_g1	7.06805	6.24017958	0.82787042	9.258084	7.9377181000000006	1.3203658999999996	1.3203658999999996	archived mean uses a different upstream/statistical basis; retain both
SULT	TRINITY_DN27959_c0_g1	0.39887466666666666	0.40467638	-0.005801713333333347	0.09525933333333333	0.07858782	0.016671513333333332	0.016671513333333332	archived mean uses a different upstream/statistical basis; retain both
SULT	TRINITY_DN5927_c0_g1	168.48029666666667	144.25169668	24.228599986666666	96.67569533333334	82.034120538	14.64157479533334	24.228599986666666	archived mean uses a different upstream/statistical basis; retain both
SULT	TRINITY_DN5949_c0_g1	6.900130333333333	6.1871354400000005	0.7129948933333328	5.222404666666667	4.9608336	0.26157106666666685	0.7129948933333328	archived mean uses a different upstream/statistical basis; retain both
SULT	TRINITY_DN659_c1_g1	198.498297	169.299746	29.19855100000001	122.78065666666666	105.7343216	17.046335066666657	29.19855100000001	archived mean uses a different upstream/statistical basis; retain both
ABC	TRINITY_DN10989_c0_g1	0.436087	0.43294326000000005	0.0031437399999999505	0.629956	0.6464918799999999	-0.016535879999999947	0.016535879999999947	archived mean uses a different upstream/statistical basis; retain both
ABC	TRINITY_DN1124_c0_g1	13.303844666666667	12.184351834000001	1.1194928326666655	38.27347066666667	36.54953326	1.7239374066666713	1.7239374066666713	archived mean uses a different upstream/statistical basis; retain both
ABC	TRINITY_DN1142_c1_g1	11.274007666666666	10.5311808	0.7428268666666664	13.131511	12.7700012	0.3615098000000003	0.7428268666666664	archived mean uses a different upstream/statistical basis; retain both
ABC	TRINITY_DN11606_c0_g1	0.341715	0.32313590799999997	0.01857909200000002	0.7349296666666667	0.69879414	0.03613552666666675	0.03613552666666675	archived mean uses a different upstream/statistical basis; retain both
ABC	TRINITY_DN11773_c0_g1	13.009858666666666	11.37673624	1.6331224266666666	16.733225666666666	13.95210452	2.781121146666665	2.781121146666665	archived mean uses a different upstream/statistical basis; retain both
ABC	TRINITY_DN12134_c0_g1	0.328477	0.30019239999999997	0.02828460000000005	0.852142	0.73838124	0.1137607599999999	0.1137607599999999	archived mean uses a different upstream/statistical basis; retain both
ABC	TRINITY_DN12905_c0_g2	0.14061633333333334	0.13095272	0.009663613333333348	0.16673666666666667	0.1597554	0.00698126666666668	0.009663613333333348	archived mean uses a different upstream/statistical basis; retain both
ABC	TRINITY_DN13145_c0_g1	0.23076133333333335	0.220535	0.010226333333333337	0.6957046666666666	0.65123452	0.0444701466666666	0.0444701466666666	archived mean uses a different upstream/statistical basis; retain both
ABC	TRINITY_DN1442_c0_g1	3.707910666666667	3.27482576	0.43308490666666666	3.1388	2.7680643799999998	0.37073562000000004	0.43308490666666666	archived mean uses a different upstream/statistical basis; retain both
ABC	TRINITY_DN16854_c0_g1	0.07546733333333333	0.06239422	0.01307311333333333	0.11433333333333334	0.10180264000000001	0.012530693333333329	0.01307311333333333	archived mean uses a different upstream/statistical basis; retain both
