Family	GeneID	Condition	Replicate	Sample	TPM
UGT	TRINITY_DN8039_c0_g1	Mul	1	Mul_mg1	1.745115
UGT	TRINITY_DN8039_c0_g1	Mul	2	Mul_mg2	2.70007
UGT	TRINITY_DN8039_c0_g1	Mul	3	Mul_mg3	0.845038
UGT	TRINITY_DN87_c1_g3	Dan	1	Dan_mg1	22.400955
UGT	TRINITY_DN87_c1_g3	Dan	2	Dan_mg2	19.800771
UGT	TRINITY_DN87_c1_g3	Dan	3	Dan_mg3	10.626021
UGT	TRINITY_DN87_c1_g3	Mul	1	Mul_mg1	28.126039000000002
UGT	TRINITY_DN87_c1_g3	Mul	2	Mul_mg2	18.990955
UGT	TRINITY_DN87_c1_g3	Mul	3	Mul_mg3	12.767046
UGT	TRINITY_DN9587_c0_g1	Dan	1	Dan_mg1	0.111424
UGT	TRINITY_DN9587_c0_g1	Dan	2	Dan_mg2	0.19672800000000001
UGT	TRINITY_DN9587_c0_g1	Dan	3	Dan_mg3	3.236121
UGT	TRINITY_DN9587_c0_g1	Mul	1	Mul_mg1	0.15148
UGT	TRINITY_DN9587_c0_g1	Mul	2	Mul_mg2	0.28358099999999997
UGT	TRINITY_DN9587_c0_g1	Mul	3	Mul_mg3	0.614984
SULT	TRINITY_DN1282_c1_g2	Dan	1	Dan_mg1	0.53343
SULT	TRINITY_DN1282_c1_g2	Dan	2	Dan_mg2	1.302409
SULT	TRINITY_DN1282_c1_g2	Dan	3	Dan_mg3	0.681225
SULT	TRINITY_DN1282_c1_g2	Mul	1	Mul_mg1	9.62363
SULT	TRINITY_DN1282_c1_g2	Mul	2	Mul_mg2	4.063916
SULT	TRINITY_DN1282_c1_g2	Mul	3	Mul_mg3	2.642842
SULT	TRINITY_DN13428_c0_g1	Dan	1	Dan_mg1	0.240016
SULT	TRINITY_DN13428_c0_g1	Dan	2	Dan_mg2	0.5344099999999999
SULT	TRINITY_DN13428_c0_g1	Dan	3	Dan_mg3	0.12103
SULT	TRINITY_DN13428_c0_g1	Mul	1	Mul_mg1	0.314299
SULT	TRINITY_DN13428_c0_g1	Mul	2	Mul_mg2	1.307853
SULT	TRINITY_DN13428_c0_g1	Mul	3	Mul_mg3	0.061437
SULT	TRINITY_DN13428_c0_g2	Dan	1	Dan_mg1	0.079301
SULT	TRINITY_DN13428_c0_g2	Dan	2	Dan_mg2	0.250719
SULT	TRINITY_DN13428_c0_g2	Dan	3	Dan_mg3	0.246333
SULT	TRINITY_DN13428_c0_g2	Mul	1	Mul_mg1	0.411366
SULT	TRINITY_DN13428_c0_g2	Mul	2	Mul_mg2	0.440033
SULT	TRINITY_DN13428_c0_g2	Mul	3	Mul_mg3	0.106472
SULT	TRINITY_DN18563_c0_g1	Dan	1	Dan_mg1	0.172274
SULT	TRINITY_DN18563_c0_g1	Dan	2	Dan_mg2	0.644387
SULT	TRINITY_DN18563_c0_g1	Dan	3	Dan_mg3	1.677719
SULT	TRINITY_DN18563_c0_g1	Mul	1	Mul_mg1	0.0
SULT	TRINITY_DN18563_c0_g1	Mul	2	Mul_mg2	0.062638
SULT	TRINITY_DN18563_c0_g1	Mul	3	Mul_mg3	0.0
SULT	TRINITY_DN1884_c0_g1	Dan	1	Dan_mg1	60.328386
SULT	TRINITY_DN1884_c0_g1	Dan	2	Dan_mg2	104.456856
SULT	TRINITY_DN1884_c0_g1	Dan	3	Dan_mg3	41.575593
SULT	TRINITY_DN1884_c0_g1	Mul	1	Mul_mg1	48.481214
SULT	TRINITY_DN1884_c0_g1	Mul	2	Mul_mg2	85.29727199999999
SULT	TRINITY_DN1884_c0_g1	Mul	3	Mul_mg3	108.355405
SULT	TRINITY_DN260_c1_g1	Dan	1	Dan_mg1	460.727667
SULT	TRINITY_DN260_c1_g1	Dan	2	Dan_mg2	723.701139
SULT	TRINITY_DN260_c1_g1	Dan	3	Dan_mg3	381.201308
SULT	TRINITY_DN260_c1_g1	Mul	1	Mul_mg1	374.594053
SULT	TRINITY_DN260_c1_g1	Mul	2	Mul_mg2	345.946152
SULT	TRINITY_DN260_c1_g1	Mul	3	Mul_mg3	455.796607
SULT	TRINITY_DN275_c0_g1	Dan	1	Dan_mg1	5.164658
SULT	TRINITY_DN275_c0_g1	Dan	2	Dan_mg2	9.938026
SULT	TRINITY_DN275_c0_g1	Dan	3	Dan_mg3	6.101466
SULT	TRINITY_DN275_c0_g1	Mul	1	Mul_mg1	9.709106
SULT	TRINITY_DN275_c0_g1	Mul	2	Mul_mg2	8.179689
SULT	TRINITY_DN275_c0_g1	Mul	3	Mul_mg3	9.885457
SULT	TRINITY_DN27959_c0_g1	Dan	1	Dan_mg1	0.071259
SULT	TRINITY_DN27959_c0_g1	Dan	2	Dan_mg2	0.16493
SULT	TRINITY_DN27959_c0_g1	Dan	3	Dan_mg3	0.9604349999999999
SULT	TRINITY_DN27959_c0_g1	Mul	1	Mul_mg1	0.111798
SULT	TRINITY_DN27959_c0_g1	Mul	2	Mul_mg2	0.089698
SULT	TRINITY_DN27959_c0_g1	Mul	3	Mul_mg3	0.084282
SULT	TRINITY_DN5927_c0_g1	Dan	1	Dan_mg1	116.516503
SULT	TRINITY_DN5927_c0_g1	Dan	2	Dan_mg2	220.669767
SULT	TRINITY_DN5927_c0_g1	Dan	3	Dan_mg3	168.25462000000002
SULT	TRINITY_DN5927_c0_g1	Mul	1	Mul_mg1	118.991785
SULT	TRINITY_DN5927_c0_g1	Mul	2	Mul_mg2	104.788347
SULT	TRINITY_DN5927_c0_g1	Mul	3	Mul_mg3	66.246954
SULT	TRINITY_DN5949_c0_g1	Dan	1	Dan_mg1	6.003498
SULT	TRINITY_DN5949_c0_g1	Dan	2	Dan_mg2	10.646097
SULT	TRINITY_DN5949_c0_g1	Dan	3	Dan_mg3	4.050796
SULT	TRINITY_DN5949_c0_g1	Mul	1	Mul_mg1	8.988485
SULT	TRINITY_DN5949_c0_g1	Mul	2	Mul_mg2	5.64395
SULT	TRINITY_DN5949_c0_g1	Mul	3	Mul_mg3	1.034779
SULT	TRINITY_DN659_c1_g1	Dan	1	Dan_mg1	133.412877
SULT	TRINITY_DN659_c1_g1	Dan	2	Dan_mg2	239.75860799999998
SULT	TRINITY_DN659_c1_g1	Dan	3	Dan_mg3	222.323406
SULT	TRINITY_DN659_c1_g1	Mul	1	Mul_mg1	148.24445699999998
SULT	TRINITY_DN659_c1_g1	Mul	2	Mul_mg2	121.585513
SULT	TRINITY_DN659_c1_g1	Mul	3	Mul_mg3	98.512
ABC	TRINITY_DN10989_c0_g1	Dan	1	Dan_mg1	0.644574
ABC	TRINITY_DN10989_c0_g1	Dan	2	Dan_mg2	0.0
ABC	TRINITY_DN10989_c0_g1	Dan	3	Dan_mg3	0.663687
ABC	TRINITY_DN10989_c0_g1	Mul	1	Mul_mg1	0.65984
ABC	TRINITY_DN10989_c0_g1	Mul	2	Mul_mg2	0.0
ABC	TRINITY_DN10989_c0_g1	Mul	3	Mul_mg3	1.230028
ABC	TRINITY_DN1124_c0_g1	Dan	1	Dan_mg1	10.27421
ABC	TRINITY_DN1124_c0_g1	Dan	2	Dan_mg2	17.173547
